artist,bio,source,url,bio_clean
Troye Sivan,"Troye Sivan Mellet is an Australian singer-songwriter and actor. After gaining popularity as a singer on YouTube and in Australian talent competitions, Sivan signed with EMI Australia in 2013. He earned early recognition for his extended plays (EPs) TRXYE (2014) and Wild (2015); the former peaked at number 5 on the US Billboard 200, while his debut single, ""Happy Little Pill"", reached the Top 10 on Australian music charts.",wikipedia,https://en.wikipedia.org/wiki/Troye_Sivan,troye sivan mellet is an australian singer songwriter and actor after gaining popularity as a singer on youtube and in australian talent competitions sivan signed with emi australia in he earned early recognition for his extended plays eps trxye and wild the former peaked at number on the us billboard while his debut single happy little pill reached the top on australian music charts
Snow Patrol,"Snow Patrol are a Northern Irish rock band formed in 1994 in Dundee, Scotland, consisting of Gary Lightbody, Nathan Connolly, and Johnny McDaid ; Lightbody is the band's sole remaining original member.",wikipedia,https://en.wikipedia.org/wiki/Snow_Patrol,snow patrol are a northern irish rock band formed in in dundee scotland consisting of gary lightbody nathan connolly and johnny mcdaid lightbody is the band s sole remaining original member
Duncan Laurence,"Duncan de Moor, known professionally as Duncan Laurence, is a Dutch singer and songwriter. He represented the Netherlands in the Eurovision Song Contest 2019 with his song ""Arcade"" and went on to win the competition, giving the Netherlands its first Eurovision win since 1975. ""Arcade"" became one of the most successful Eurovision Song Contest winning entries on streaming platforms and international charts in recent history. Prior to Eurovision, Laurence was a semi-finalist in the fifth season of The Voice of Holland.",wikipedia,https://en.wikipedia.org/wiki/Duncan_Laurence,duncan de moor known professionally as duncan laurence is a dutch singer and songwriter he represented the netherlands in the eurovision song contest with his song arcade and went on to win the competition giving the netherlands its first eurovision win since arcade became one of the most successful eurovision song contest winning entries on streaming platforms and international charts in recent history prior to eurovision laurence was a semi finalist in the fifth season of the voice of holland
Rvssian,"Tarik Johnston, commonly known as Rvssian and previously as Russian, is a Jamaican record producer, singer, and entrepreneur. He is the founder of Head Concussion, a music production company situated in Kingston, Jamaica.",wikipedia,https://en.wikipedia.org/wiki/Rvssian,tarik johnston commonly known as rvssian and previously as russian is a jamaican record producer singer and entrepreneur he is the founder of head concussion a music production company situated in kingston jamaica
Sleep Miracle,,none,,
Suki Waterhouse,"Alice Suki Waterhouse is an English actress, singer, and model. Waterhouse began a career in modelling at the age of 16, and she went on to model for several major fashion labels such as Burberry, Tommy Hilfiger, Hugo Boss, Laura Mercier, and Ferragamo. Her first feature film as an actress was a minor role in Pusher (2012), and she has since appeared in films such as Love, Rosie (2014), The Divergent Series: Insurgent (2015), The Bad Batch (2016), Assassination Nation (2018), and Detective Pikachu (2019). Waterhouse portrayed Karen Sirko in the musical drama miniseries Daisy Jones & the Six (2023).",wikipedia,https://en.wikipedia.org/wiki/Suki_Waterhouse,alice suki waterhouse is an english actress singer and model waterhouse began a career in modelling at the age of and she went on to model for several major fashion labels such as burberry tommy hilfiger hugo boss laura mercier and ferragamo her first feature film as an actress was a minor role in pusher and she has since appeared in films such as love rosie the divergent series insurgent the bad batch assassination nation and detective pikachu waterhouse portrayed karen sirko in the musical drama miniseries daisy jones the six
Joy Again,"Joy Again was an American indie rock band from Philadelphia, Pennsylvania. Founded in 2014, the band consisted of singer and guitarists Sachi DiSerafino and Arthur Shea, keyboardists Blaise O'Brien and Zachary Tyndall, bassist Kieran Ferris, and drummer Will Butera.",wikipedia,https://en.wikipedia.org/wiki/Joy_Again,joy again was an american indie rock band from philadelphia pennsylvania founded in the band consisted of singer and guitarists sachi diserafino and arthur shea keyboardists blaise o brien and zachary tyndall bassist kieran ferris and drummer will butera
The Script,"The Script are an Irish pop rock band formed in 2001 in Dublin. The band currently consists of Danny O'Donoghue ,Benjamin Seargent and Ben Weaver (guitar). Glen Power has not been with the band since early 2025, current drummer unknown. Mark Sheehan was a member of the band up until his death in 2023. The band moved to London after signing to Sony Label Group imprint Phonogenic and released their first album The Script in August 2008, preceded by the debut single ""We Cry"" as well as other singles such as ""The Man Who Can't Be Moved"", ""Breakeven"" and ""Before the Worst"". The album peaked at number one in both Ireland and the UK.",wikipedia,https://en.wikipedia.org/wiki/The_Script,the script are an irish pop rock band formed in in dublin the band currently consists of danny o donoghue benjamin seargent and ben weaver guitar glen power has not been with the band since early current drummer unknown mark sheehan was a member of the band up until his death in the band moved to london after signing to sony label group imprint phonogenic and released their first album the script in august preceded by the debut single we cry as well as other singles such as the man who can t be moved breakeven and before the worst the album peaked at number one in both ireland and the uk
David Guetta,"Pierre David Guetta is a French DJ and record producer. He has sold over 10 million albums and 65 million singles globally, with more than 30 billion streams on Spotify. Guetta was voted the number one DJ in the DJ Mag Top 100 DJs polls in 2011, 2020, 2021, 2023 and 2025. In 2013, Billboard ranked his song ""When Love Takes Over"" as the number one dance-pop collaboration of all time.",wikipedia,https://en.wikipedia.org/wiki/David_Guetta,pierre david guetta is a french dj and record producer he has sold over million albums and million singles globally with more than billion streams on spotify guetta was voted the number one dj in the dj mag top djs polls in and in billboard ranked his song when love takes over as the number one dance pop collaboration of all time
Selena Gomez,"Selena Marie Gomez is an American actress, singer, songwriter, businesswoman, and producer. Gomez began her career as a child actress, appearing on the children's television series Barney & Friends (2002–2004), and emerged as a teen idol for her leading role as Alex Russo on the Disney Channel sitcom Wizards of Waverly Place (2007–2012). She signed with Hollywood Records in 2008 and formed the band Selena Gomez & the Scene, which released three albums: Kiss & Tell (2009), A Year Without Rain (2010), and When the Sun Goes Down (2011).",wikipedia,https://en.wikipedia.org/wiki/Selena_Gomez,selena marie gomez is an american actress singer songwriter businesswoman and producer gomez began her career as a child actress appearing on the children s television series barney friends and emerged as a teen idol for her leading role as alex russo on the disney channel sitcom wizards of waverly place she signed with hollywood records in and formed the band selena gomez the scene which released three albums kiss tell a year without rain and when the sun goes down
Declan McKenna,"Declan Benedict McKenna is an English singer-songwriter. He initially gained recognition for winning the Glastonbury Festival's Emerging Talent Competition in 2015. McKenna self-released the song ""Brazil"", a protest song criticising FIFA and the 2014 FIFA World Cup held in Brazil, as his debut single in December 2015. The song reached number one on Sirius XM Radio's Alt Nation Alt 18 Countdown for 23 January 2016 and held that spot for three weeks. The song also reached number 16 on the U.S. Billboard Alternative Songs chart. He released his debut studio album, What Do You Think About the Car?, in 2017. McKenna released his second studio album, Zeros, in September 2020, after multiple delays due to the COVID-19 pandemic. He released his third album, What Happened to the Beach?, in February 2024.",wikipedia,https://en.wikipedia.org/wiki/Declan_McKenna,declan benedict mckenna is an english singer songwriter he initially gained recognition for winning the glastonbury festival s emerging talent competition in mckenna self released the song brazil a protest song criticising fifa and the fifa world cup held in brazil as his debut single in december the song reached number one on sirius xm radio s alt nation alt countdown for january and held that spot for three weeks the song also reached number on the u s billboard alternative songs chart he released his debut studio album what do you think about the car in mckenna released his second studio album zeros in september after multiple delays due to the covid pandemic he released his third album what happened to the beach in february
Axwell /\ Ingrosso,Axwell & Ingrosso are a Swedish DJ duo consisting of Swedish House Mafia members Axwell and Sebastian Ingrosso. They made their debut performance at the 2014 Governors Ball Music Festival in New York City in June.,wikipedia,https://en.wikipedia.org/wiki/Axwell_%26_Ingrosso,axwell ingrosso are a swedish dj duo consisting of swedish house mafia members axwell and sebastian ingrosso they made their debut performance at the governors ball music festival in new york city in june
Myke Towers,"Michael Anthony Torres Monge, known professionally as Myke Towers, is a Puerto Rican rapper and singer. He was recognized as New Artist of the Year by the Billboard Latin Music Awards in 2021 and has been nominated at the Latin Grammys. To date, Towers has released 7 studio albums and is co-managed by One World International and S10 Entertainment.",wikipedia,https://en.wikipedia.org/wiki/Myke_Towers,michael anthony torres monge known professionally as myke towers is a puerto rican rapper and singer he was recognized as new artist of the year by the billboard latin music awards in and has been nominated at the latin grammys to date towers has released studio albums and is co managed by one world international and s entertainment
